Station	Longitude	Latitude
1-1	46.614584	24.828905
1-2	46.623831	24.813021
1-3	46.631136	24.795617
1-4	46.639536	24.779697
1-5	46.655866	24.754953
1-6	46.659215	24.747856
1-7	46.662979	24.739877
1-8	46.667581	24.728721
1-9	46.671664	24.721466
1-10	46.674766	24.714889
1-11	46.678645	24.707022
1-12	46.684098	24.6965
1-13	46.688429	24.688143
1-14	46.698373	24.66895
1-15	46.704642	24.66375
1-16	46.706193	24.65733
1-17	46.709414	24.648102
1-18	46.712294	24.639529
1-19	46.713838	24.634932
1-20	46.714816	24.627701
1-21	46.718075	24.621457
1-22	46.720062	24.61574
1-23	46.722645	24.608712
1-24	46.726234	24.599556
1-25	46.739877	24.589645
1-26	46.744546	24.582622
1-27	46.768018	24.543064
2-1	46.625352	24.707633
2-2	46.634365	24.717199
2-3	46.647789	24.722744
2-4	46.655799	24.726136
2-5	46.667581	24.728721
2-6	46.677519	24.734934
2-7	46.68583	24.738495
2-8	46.693996	24.74206
2-9	46.703389	24.746279
2-10	46.72143	24.75361
2-11	46.759499	24.76969
2-12	46.776677	24.778438
2-13	46.797897	24.785823
2-14	46.811204	24.794427
2-15	46.824722	24.802704
2-16	46.832447	24.792073
3-1	46.543725	24.590582
3-2	46.560442	24.586424
3-3	46.589736	24.582639
3-4	46.624559	24.587607
3-5	46.644881	24.601013
3-6	46.656624	24.608552
3-7	46.681668	24.614132
3-8	46.693383	24.618342
3-9	46.706244	24.623809
3-10	46.714816	24.627701
3-11	46.723641	24.634022
3-12	46.730446	24.63682
3-13	46.736869	24.640583
3-14	46.743376	24.640644
3-15	46.740509	24.661449
3-16	46.751324	24.670804
3-17	46.770051	24.678235
3-18	46.796426	24.687419
3-19	46.81007	24.694069
3-20	46.826367	24.70121
3-21	46.848565	24.714746
3-22	46.865588	24.726999
4-1	46.639536	24.779697
4-2	46.660268	24.789999
4-3	46.695849	24.80474
4-4	46.714352	24.811297
4-5	46.714327	24.847541
4-6	46.705326	24.866579
4-7	46.715153	24.936452
4-8	46.708797	24.947597
4-9	46.700116	24.959616
5-1	46.693996	24.74206
5-2	46.702913	24.726796
5-3	46.709046	24.711298
5-4	46.713731	24.709575
5-5	46.718604	24.707784
5-6	46.718542	24.700933
5-7	46.718459	24.693927
5-8	46.718376	24.682521
5-9	46.718739	24.66834
5-10	46.718148	24.657359
5-11	46.715546	24.647769
5-12	46.712294	24.639529
6-1	46.639536	24.779697
6-2	46.660268	24.789999
6-3	46.695849	24.80474
6-4	46.714352	24.811297
6-5	46.726158	24.786828
6-6	46.761586	24.801862
6-7	46.776677	24.778438
6-8	46.790575	24.758655
6-9	46.802329	24.740993
6-10	46.811485	24.724378
6-11	46.826367	24.70121
P1	46.717947	24.811557
P2	46.663756	24.786607
P3	46.632144	24.778796
P4	46.710442	24.868038
P5	46.610632	24.827139
P6	46.782833	24.775975
P7	46.833221	24.796371
P8	46.806839	24.739297
P9	46.828705	24.705213
P10	46.869824	24.72866
P11	46.675402	24.728877
P12	46.635947	24.713681
P13	46.779837	24.675183
P14	46.744472	24.670078
P15	46.707444	24.629921
P16	46.734584	24.590301
P17	46.672282	24.611739
P18	46.63262	24.588128
P19	46.557037	24.595082
P20	46.771997	24.539013
