FID_,TAZ,sq_km,m_saudi,f_saudi,m_nonsaudi,tt_saudi,f_nonsaudi,tt_nonsaud,tt_pop,DiMeter,size_group,ORIG_FID,x_cord,y_cord
,700,2.649870438800000,69,69,29,138,25,54,192,1836.821151180000000,0,0,46.562846990899999,24.747917237599999
,631,2.168046082790000,8,8,10,16,7,17,33,1661.455853259999900,0,1,46.577165010999998,24.716842884599998
,4,7.571282055740000,1696,1160,2427,2856,106,2533,5389,3104.840281740000100,0,2,46.510738190799998,24.742000697400002
,634,4.073984011700000,1762,1379,1377,3141,1127,2504,5645,2277.530552709999900,0,3,46.592616821900002,24.716157393000000
,7,9.125169640270000,33,29,77,62,43,120,182,3408.592036210000100,0,4,46.570396945399999,24.705316523400001
,569,1.233124632610000,4913,4221,2703,9134,1622,4325,13459,1253.020101330000000,0,5,46.628456824099999,24.786835575800001
,620,2.627700240660000,4009,2587,1597,6596,1487,3084,9680,1829.121109839999900,0,6,46.601620263400001,24.732780620900002
,14,8.895548161470000,3507,3369,4289,6876,5217,9506,16382,3365.432692219999800,0,7,46.623943965099997,24.724834257900000
,16,0.238701767718000,438,283,371,721,345,716,1437,551.292861690000000,0,8,46.652930516300003,24.745024985099999
,629,1.108916375230000,1344,1232,981,2576,862,1843,4419,1188.239403099999900,0,9,46.641815414699998,24.733258905300001
,657,0.309271813573000,567,520,177,1087,155,332,1419,627.515882103999960,0,10,46.655160081600002,24.740696829099999
,666,0.209057672326000,648,594,69,1242,61,130,1372,515.926228341999940,0,11,46.655907332100000,24.731025292900000
,20,0.305517224116000,354,325,82,679,72,154,833,623.695199356999980,0,12,46.661103364299997,24.728528221200001
,21,1.375000094290000,177,147,214,324,193,407,731,1323.140355430000000,0,13,46.646764920999999,24.705867955500000
,23,0.261546943651000,35,32,19,67,24,43,110,577.071167825999960,0,14,46.665154190999999,24.721374303800001
,25,0.210773474930000,242,216,134,458,171,305,763,518.039087048000060,0,15,46.661612631700002,24.710418367999999
,27,2.760056986900000,10205,7227,12635,17432,8076,20711,38143,1874.621424100000000,0,16,46.643093074100001,24.692451191300002
,31,1.000948533190000,511,542,827,1053,560,1387,2440,1128.912872850000000,0,17,46.662861786800001,24.700108771299998
,826,0.309935205524000,963,865,1517,1828,1357,2874,4702,628.188536335999970,0,18,46.671409908100003,24.708286502100002
,837,0.217736486681000,703,632,811,1335,725,1536,2871,526.526406640000000,0,19,46.673471428200003,24.694142049500002
,34,0.838623470619000,371,393,204,764,138,342,1106,1033.327667800000000,0,20,46.666437420900003,24.692751827700000
,35,0.223024501139000,356,320,241,676,215,456,1132,532.881741351999950,0,21,46.681649138499999,24.689185279800000
,36,0.791303487300000,913,967,851,1880,575,1426,3306,1003.751232080000000,0,22,46.670190262600002,24.685963544500002
,37,0.255763231040000,558,502,404,1060,361,765,1825,570.654973118000040,0,23,46.684900607800003,24.680661072300001
,38,0.916957674491000,1180,1250,1137,2430,769,1906,4336,1080.511009610000000,0,24,46.673006646899999,24.678862799600001
,39,0.746443862018000,2,7,60,9,31,91,100,974.884413967999990,0,25,46.675465824000000,24.671504131399999
,40,1.049682318140000,5,15,184,20,96,280,300,1156.068298830000000,0,26,46.675596791899999,24.663413849499999
,41,0.503996664692000,3,8,81,11,42,123,134,801.066154140999970,0,27,46.682287676800001,24.662927414500000
,1024,0.422914547728000,368,308,211,676,141,352,1028,733.805333199999950,0,28,46.683850913599997,24.670308936900000
,43,0.487079049751000,374,313,1445,687,963,2408,3095,787.506734787000030,0,29,46.691359223100001,24.668254701900000
,46,7.261451892190000,1111,1239,3538,2350,2727,6265,8615,3040.648957250000000,0,30,46.617191117499999,24.668890842900002
,47,8.389161112689999,1585,1282,991,2867,1165,2156,5023,3268.239082149999800,0,31,46.632719750900002,24.658321331900002
,603,1.149612036560000,1565,924,924,2489,604,1528,4017,1209.846305620000100,0,32,46.712621865400003,24.801819261999999
,57,4.008078925940000,2616,0,0,2616,0,0,2616,2259.033566229999900,0,33,46.703372818699997,24.812737915100001
,677,0.278815007199000,1026,798,683,1824,477,1160,2984,595.816635126000050,0,34,46.658926970300001,24.763250681300001
,709,0.313625832914000,1333,1038,1014,2371,708,1722,4093,631.917620369000020,0,35,46.671402222600001,24.757350591700000
,702,0.164033513696000,0,0,0,0,0,0,0,457.004888277000020,0,36,46.655884320200002,24.748639444100000
,61,0.043747314805400,121,95,134,216,94,228,444,236.009917024000000,0,37,46.664197219700000,24.757496997200001
,703,0.230511494873000,876,682,584,1558,408,992,2550,541.752401441999950,0,38,46.661382054800001,24.755003969200001
,706,0.264252177386000,1064,829,636,1893,444,1080,2973,580.047873241000050,0,39,46.669999819899999,24.762283304000000
,64,1.028860581070000,4992,4024,3420,9016,3330,6750,15766,1144.544850380000100,0,40,46.683867546599998,24.771246600000001
