source	target	layer	capacity	weight	time_s	dist_km	len_km	cost_time_m	To	gid	From
streets_5390	streets_10042	streets	1900	0.394245951846	None	0.269401400428	0.269401400428	0.394245951846	None	10346	None
streets_5390	streets_5387	streets	9405	0.2720188179	None	0.140543055915	0.140543055915	0.2720188179	None	21057	None
streets_5390	streets_7880	streets	1900	0.394289034854	None	0.269430840483	0.269430840483	0.394289034854	None	12761	None
streets_4660	streets_4577	streets	2850	1.45988305517	None	0.997586754369	0.997586754369	1.45988305517	None	719	None
streets_4660	streets_7381	streets	2850	1.96435461497	None	1.34230898689	1.34230898689	1.96435461497	None	11305	None
streets_4660	streets_6349	streets	2850	0.512749975123	None	0.350379149668	0.350379149668	0.512749975123	None	5814	None
streets_5391	streets_1754	streets	2850	0.604176535109	None	0.412853965658	0.412853965658	0.604176535109	None	11825	None
streets_5391	streets_999	streets	2850	0.626676668332	None	0.428229056694	0.428229056694	0.626676668332	None	20413	None
streets_5391	streets_5254	streets	9405	1.3934604479	None	0.719954564751	0.719954564751	1.3934604479	None	11612	None
streets_5391	streets_2938	streets	2850	1.9458348109	None	1.32965378745	1.32965378745	1.9458348109	None	18637	None
streets_78	streets_76	streets	2850	0.206366761895	None	0.209806207927	0.209806207927	0.206366761895	None	1439	None
streets_79	streets_7690	streets	1900	0.139675332108	None	0.165282476328	0.165282476328	0.139675332108	None	13128	None
streets_79	streets_1525	streets	2850	1.28481677032	None	0.877958126385	0.877958126385	1.28481677032	None	12279	None
streets_5837	streets_8377	streets	9284	0.482355886691	None	0.811965742597	0.811965742597	0.482355886691	None	8967	None
streets_5837	streets_10246	streets	1900	0.399430507845	None	0.472659434283	0.472659434283	0.399430507845	None	12872	None
streets_70	streets_8645	streets	2850	0.691858098336	None	0.703389066641	0.703389066641	0.691858098336	None	8149	None
streets_70	streets_2779	streets	2850	0.861365148065	None	0.588599517845	0.588599517845	0.861365148065	None	15887	None
streets_70	streets_1392	streets	2850	0.0766036708522	None	0.0778803986997	0.0778803986997	0.0766036708522	None	14348	None
streets_71	streets_69	streets	1900	0.166075080037	None	0.196522178044	0.196522178044	0.166075080037	None	1436	None
streets_72	streets_444	streets	9405	2.52969359147	None	1.30700835559	1.30700835559	2.52969359147	None	20050	None
streets_73	streets_38	streets	6963	0.222855212997	None	0.375139608546	0.375139608546	0.222855212997	None	9029	None
streets_74	streets_9963	streets	1900	0.0176718375691	None	0.0209116744568	0.0209116744568	0.0176718375691	None	13932	None
streets_74	streets_8543	streets	2850	0.394125075257	None	0.400693826512	0.400693826512	0.394125075257	None	4276	None
streets_74	streets_5079	streets	1900	0.0190030503466	None	0.0224869429101	0.0224869429101	0.0190030503466	None	3531	None
streets_74	streets_310	streets	2850	0.404008178181	None	0.410741647818	0.410741647818	0.404008178181	None	9070	None
streets_75	streets_6195	streets	9405	2.66887449089	None	1.37891848696	1.37891848696	2.66887449089	None	1573	None
streets_76	streets_10725	streets	2850	0.318910670555	None	0.324225848397	0.324225848397	0.318910670555	None	12331	None
streets_76	streets_8103	streets	950	0.0353792444534	None	0.0359688985276	0.0359688985276	0.0353792444534	None	2667	None
streets_77	streets_103	streets	950	0.276932794093	None	0.281548340661	0.281548340661	0.276932794093	None	2711	None
streets_77	streets_5054	streets	1900	0.444580780556	None	0.526087256991	0.526087256991	0.444580780556	None	14786	None
streets_1140	streets_4485	streets	9405	1.30688614338	None	0.675224507412	0.675224507412	1.30688614338	None	3006	None
streets_1140	streets_5601	streets	9405	1.07685193714	None	0.556373500856	0.556373500856	1.07685193714	None	18054	None
streets_5392	metro_10748	metro--streets	None	0	None	0.18844032689	None	1.8844032689	None	None	None
streets_5392	streets_6655	streets	2850	0.503716768028	None	0.344206458152	0.344206458152	0.503716768028	None	9088	None
streets_5392	streets_5998	streets	2850	0.705330524847	None	0.59953094612	0.59953094612	0.705330524847	None	20106	None
streets_5392	streets_4141	streets	2850	0.61404198491	None	0.521935687174	0.521935687174	0.61404198491	None	11614	None
streets_6746	streets_3044	streets	2850	1.42525665234	None	0.973925379101	0.973925379101	1.42525665234	None	12071	None
streets_6746	streets_6821	streets	1900	0.223161682055	None	0.264074657098	0.264074657098	0.223161682055	None	8397	None
streets_8947	streets_2357	streets	1900	0.205120643165	None	0.242726094411	0.242726094411	0.205120643165	None	17969	None
streets_8947	streets_8944	streets	950	0.0772544435536	None	0.0785420176128	0.0785420176128	0.0772544435536	None	12198	None
streets_3391	streets_7385	streets	2850	0.598138168071	None	0.309038053503	0.309038053503	0.598138168071	None	8642	None
streets_3391	streets_7168	streets	2850	0.597747177823	None	0.308836041875	0.308836041875	0.597747177823	None	9519	None
streets_3391	streets_7125	streets	9405	1.30690286243	None	0.675233145591	0.675233145591	1.30690286243	None	17341	None
streets_5495	streets_3191	streets	2850	1.03097833511	None	1.04816130737	1.04816130737	1.03097833511	None	12021	None
streets_10620	streets_7064	streets	1900	4.76567372549	None	5.63938057516	5.63938057516	4.76567372549	None	15410	None
streets_5393	streets_5594	streets	2850	0.270749155726	None	0.18501192308	0.18501192308	0.270749155726	None	7990	None
streets_5393	streets_5906	streets	9405	0.330235128117	None	0.170621482861	0.170621482861	0.330235128117	None	7328	None
streets_5393	streets_3046	streets	950	0.337914122731	None	0.230907983866	0.230907983866	0.337914122731	None	5911	None
streets_5393	streets_5388	streets	950	0.663510598486	None	0.453398908965	0.453398908965	0.663510598486	None	5912	None
streets_2409	streets_4678	streets	6963	0.0885068034432	None	0.148986452463	0.148986452463	0.0885068034432	None	11010	None
streets_2408	streets_1043	streets	9405	0.314191246284	None	0.162332143913	0.162332143913	0.314191246284	None	4572	None
streets_2159	streets_6218	streets	6963	0.204392859826	None	0.344061314041	0.344061314041	0.204392859826	None	12069	None
streets_2159	streets_4601	streets	1900	0.925092301647	None	1.09469255695	1.09469255695	0.925092301647	None	10852	None
streets_2158	streets_2481	streets	9405	1.51234475964	None	0.781378125813	0.781378125813	1.51234475964	None	13994	None
streets_2153	streets_9706	streets	1900	0.138127441516	None	0.163450805794	0.163450805794	0.138127441516	None	18660	None
streets_2153	streets_6129	streets	950	0.107923098813	None	0.109721817126	0.109721817126	0.107923098813	None	15041	None
streets_2152	streets_8583	streets	2850	0.0367759615107	None	0.0373888942025	0.0373888942025	0.0367759615107	None	13977	None
streets_2151	streets_2807	streets	2850	0.236460219018	None	0.240401222668	0.240401222668	0.236460219018	None	16347	None
streets_2151	streets_4368	streets	950	0.47830084853	None	0.326838913162	0.326838913162	0.47830084853	None	13969	None
streets_2150	streets_7774	streets	3800	0.305349131242	None	0.31043828343	0.31043828343	0.305349131242	None	17302	None
streets_2150	streets_9000	streets	950	0.412422781452	None	0.281822233992	0.281822233992	0.412422781452	None	10853	None
streets_2157	streets_8805	streets	2850	0.471728620877	None	0.479590764559	0.479590764559	0.471728620877	None	13993	None
streets_2157	streets_4617	streets	950	0.044593260071	None	0.0453364810722	0.0453364810722	0.044593260071	None	15601	None
streets_2156	streets_564	streets	950	1.03177551924	None	0.705046604813	0.705046604813	1.03177551924	None	20802	None
streets_2156	streets_1781	streets	2850	0.190618367395	None	0.193795340185	0.193795340185	0.190618367395	None	21184	None
streets_2155	streets_9178	streets	9405	0.227507962317	None	0.117545780531	0.117545780531	0.227507962317	None	15449	None
streets_2154	streets_1445	streets	6963	0.104916288011	None	0.176609084819	0.176609084819	0.104916288011	None	14934	None
streets_10623	streets_3509	streets	950	0.364035906028	None	0.248757869119	0.248757869119	0.364035906028	None	8352	None
streets_10623	streets_539	streets	1900	0.398552829933	None	0.471620848754	0.471620848754	0.398552829933	None	16986	None
streets_5394	streets_995	streets	1900	0.284802093294	None	0.2420817793	0.2420817793	0.284802093294	None	5910	None
streets_5394	streets_646	streets	9405	0.802392639434	None	0.414569530374	0.414569530374	0.802392639434	None	13430	None
streets_10532	streets_33	streets	6963	0.813552400069	None	1.36947987345	1.36947987345	0.813552400069	None	708	None
streets_8369	streets_5216	streets	1900	0.100285226726	None	0.118670851625	0.118670851625	0.100285226726	None	6489	None
streets_9140	streets_9708	streets	1900	0.0480223796257	None	0.0568264825571	0.0568264825571	0.0480223796257	None	13192	None
streets_10278	streets_5208	streets	2850	2.03773059835	None	1.05282747581	1.05282747581	2.03773059835	None	7773	None
