id	layer	num1	num2	num3	lon	pos	Station	st_x	st_y	lat	proximity_to_metro
streets_12353	streets	None	None	None	None	(24.650801376598501, 46.685773342958605)	None	46.685773343	24.6508013766	None	None
taz_12983	taz	1052	506	900	46.802165	(24.759114, 46.802165000000002)	None	None	None	24.759114	1.17487120999
taz_12982	taz	1053	1620	900	46.799364	(24.766356999999999, 46.799364000000004)	None	None	None	24.766357	1.23292557657
taz_12981	taz	1050	2707	902	46.799075	(24.784368000000001, 46.799075000000002)	None	None	None	24.784368	0.200517447269
streets_12352	streets	None	None	None	None	(24.626095854073601, 46.747658815812798)	None	46.7476588158	24.6260958541	None	None
taz_12987	taz	1056	6768	899	46.795487	(24.774643999999999, 46.795487000000001)	None	None	None	24.774644	1.26208873467
taz_12986	taz	1057	7315	899	46.803845	(24.777963, 46.803845000000003)	None	None	None	24.777963	1.05870466114
taz_12984	taz	1055	5142	899	46.796427	(24.773385000000001, 46.796427000000001)	None	None	None	24.773385	1.38573948089
taz_12989	taz	1058	1187	895	46.791788	(24.748352000000001, 46.791788000000004)	None	None	None	24.748352	1.14782463092
taz_12988	taz	1059	9712	895	46.790207	(24.750471999999998, 46.790207000000002)	None	None	None	24.750472	0.907171848268
streets_2158	streets	None	None	None	None	(25.029099636216603, 46.502120670564395)	None	46.5021206706	25.0290996362	None	None
streets_2153	streets	None	None	None	None	(24.598899028680201, 46.737690937023004)	None	46.737690937	24.5988990287	None	None
streets_2152	streets	None	None	None	None	(24.719509590926105, 46.698562584347599)	None	46.6985625843	24.7195095909	None	None
streets_2151	streets	None	None	None	None	(24.716665064415498, 46.673096618646795)	None	46.6730966186	24.7166650644	None	None
streets_2150	streets	None	None	None	None	(24.716720562724401, 46.672775493845798)	None	46.6727754938	24.7167205627	None	None
streets_2157	streets	None	None	None	None	(24.642239197222398, 46.747285779549998)	None	46.7472857795	24.6422391972	None	None
streets_2156	streets	None	None	None	None	(24.642442443802601, 46.751931485445297)	None	46.7519314854	24.6424424438	None	None
streets_2155	streets	None	None	None	None	(24.841194215134898, 46.636152521381291)	None	46.6361525214	24.8411942151	None	None
streets_2154	streets	None	None	None	None	(24.894007714511499, 46.573500024547997)	None	46.5735000245	24.8940077145	None	None
streets_11459	streets	None	None	None	None	(24.572759544830799, 46.620096754533996)	None	46.6200967545	24.5727595448	None	None
streets_11458	streets	None	None	None	None	(24.7300426604771, 46.593841549563209)	None	46.5938415496	24.7300426605	None	None
streets_11457	streets	None	None	None	None	(24.736989925226602, 46.662890359230097)	None	46.6628903592	24.7369899252	None	None
