id	layer	lat	google_name	lon	taz
streets_6853	streets	24.69923032	None	46.6602761159	None
streets_6850	streets	24.6416143133	None	46.6938109515	None
streets_6851	streets	24.6555515631	None	46.6968863597	None
streets_12352	streets	24.6260958541	None	46.7476588158	None
streets_6856	streets	24.7491576988	None	46.8450028849	None
streets_2156	streets	24.6424424438	None	46.7519314854	None
streets_2154	streets	24.8940077145	None	46.5735000245	None
streets_11457	streets	24.7369899252	None	46.6628903592	None
streets_6857	streets	24.6625621319	None	46.7219496255	None
streets_862	streets	24.7397886661	None	46.6829327362	None
streets_6854	streets	24.6626285213	None	46.7220653935	None
streets_6855	streets	24.6248204807	None	46.7665963726	None
taz_4540	taz	24.954454	7248	46.952398	633
taz_9742	taz	24.70616	6602	46.747136	818
taz_9746	taz	24.534526	4722	46.942555	1368
taz_9747	taz	24.412567	6471	46.905094	663
taz_9749	taz	24.983074	8504	46.66241	678
streets_10193	streets	24.6601662226	None	46.7218401723	None
streets_9413	streets	24.5000977489	None	46.6364832134	None
streets_9412	streets	24.5051535898	None	46.6332009335	None
streets_9411	streets	24.494784489	None	46.7756776532	None
streets_9410	streets	24.5044037142	None	46.7878123084	None
streets_10191	streets	24.5955580791	None	46.6688918137	None
streets_9417	streets	24.7152143925	None	46.6306021448	None
streets_9416	streets	24.7149314067	None	46.6304705761	None
streets_9415	streets	24.7831013814	None	46.7847443642	None
streets_9414	streets	24.8876069072	None	46.5811137212	None
metro_15009	metro	24.786828	None	46.726158	None
streets_9419	streets	24.717232265	None	46.6995405126	None
streets_9418	streets	24.6541005474	None	46.5591659763	None
taz_12610	taz	24.648826	7196	46.732427	244
streets_5296	streets	25.0034358014	None	46.5892982913	None
streets_4124	streets	24.6574810961	None	46.7118791065	None
streets_4125	streets	24.5483168997	None	46.874270581	None
streets_4126	streets	24.6391932951	None	46.5863321411	None
streets_4127	streets	24.7668646998	None	46.6950821325	None
streets_4120	streets	24.5610069692	None	46.6755075639	None
streets_4121	streets	24.6578224586	None	46.745187775	None
streets_4122	streets	24.7885702987	None	46.8205453094	None
streets_9574	streets	24.6132785475	None	46.730355283	None
streets_9575	streets	24.6877471102	None	46.6830286385	None
taz_7517	taz	24.687269	5362	46.558971	6
taz_7519	taz	24.474784	2576	46.808358	515
taz_7518	taz	24.468067	4338	46.800782	515
taz_10912	taz	24.760934	4487	46.829618	147
taz_10913	taz	24.582711	10567	46.534164	152
taz_10916	taz	24.598194	86	46.726612	1484
taz_10917	taz	24.600116	4240	46.723683	1484
taz_10919	taz	24.590829	9970	46.721787	338
metro_15002	metro	24.739297	None	46.806839	None
streets_8807	streets	24.7141878203	None	46.7553510836	None
streets_5830	streets	24.9095283974	None	46.9543943147	None
streets_5833	streets	24.6484480722	None	46.7258570033	None
streets_8804	streets	24.5863603003	None	46.6023365237	None
streets_5835	streets	24.9395874008	None	46.8170125054	None
streets_8802	streets	24.7608540325	None	46.7200059652	None
streets_8801	streets	24.572043994	None	46.6568285767	None
streets_8800	streets	24.5977551514	None	46.5816455855	None
taz_9292	taz	24.625368	8456	46.745975	325
taz_9293	taz	24.627063	8768	46.749954	326
taz_9290	taz	24.626925	8767	46.749506	326
taz_9291	taz	24.625889	5398	46.749372	326
taz_10588	taz	24.754851	818	46.574523	2
streets_9572	streets	24.5956938459	None	46.7272904317	None
streets_5743	streets	24.9327473055	None	46.8139603639	None
streets_5742	streets	24.9893078139	None	46.5130217326	None
streets_5741	streets	24.7115107356	None	46.6224345412	None
streets_5740	streets	24.6947408854	None	46.8308415555	None
streets_5747	streets	24.5712342784	None	46.8809032005	None
streets_5746	streets	24.6851491155	None	46.6672417074	None
streets_5745	streets	24.8225706048	None	46.6890579713	None
streets_5744	streets	24.6138108789	None	46.7678576454	None
streets_5749	streets	24.8696375873	None	46.5491735705	None
streets_5748	streets	24.5769742286	None	46.8852262122	None
streets_11106	streets	24.5217656554	None	46.6466610119	None
streets_10647	streets	24.7762665681	None	46.6411375013	None
streets_10646	streets	24.8448406791	None	46.7173690592	None
streets_10645	streets	24.7226475745	None	46.6281097064	None
streets_10644	streets	24.5850330762	None	46.6313404676	None
streets_10643	streets	24.6827589612	None	46.6688422818	None
streets_10642	streets	24.6061799384	None	46.7706834103	None
streets_10641	streets	24.7141326407	None	46.6667935897	None
streets_10640	streets	24.727948368	None	46.7765532018	None
streets_3291	streets	24.5745721068	None	46.6562175849	None
streets_3297	streets	24.6418035896	None	46.7381322858	None
streets_2238	streets	24.517852639	None	46.6152281644	None
taz_14343	taz	24.764472	4035	46.680694	714
taz_14342	taz	24.771638	7935	46.676481	715
taz_14345	taz	24.756899	5320	46.678625	717
taz_14349	taz	24.654982	5727	46.703014	186
taz_7133	taz	24.681004	7802	46.684104	37
taz_1914	taz	24.599932	3104	46.648702	1116
streets_2214	streets	24.6804298546	None	46.5867714189	None
streets_2216	streets	24.8276617511	None	46.6066316121	None
streets_2217	streets	24.5817448828	None	46.7561111097	None
streets_2210	streets	24.687472845	None	46.6987605276	None
streets_9863	streets	24.6906739471	None	46.6485228816	None
streets_2212	streets	24.6673314439	None	46.747180053	None
streets_3749	streets	24.6550914392	None	46.6949907116	None
streets_3748	streets	24.8457210673	None	46.5540430688	None
taz_1916	taz	24.769541	8535	46.753571	760
streets_6518	streets	24.6388284298	None	46.762764939	None
streets_6517	streets	24.6159770958	None	46.8261133221	None
taz_1911	taz	24.613808	5058	46.687112	1108
streets_6514	streets	24.6033429796	None	46.7870771832	None
streets_6513	streets	24.6919750843	None	46.6482305492	None
streets_3744	streets	24.7140547346	None	46.7092185402	None
streets_6511	streets	24.6747479332	None	46.6992402412	None
streets_10273	streets	24.6977336948	None	46.6769290636	None
taz_3517	taz	24.681847	8847	46.722989	1122
streets_13205	streets	24.8122481819	None	46.7111213731	None
streets_12449	streets	24.7527714401	None	46.8174780028	None
taz_11731	taz	24.61478	6488	46.721089	1352
taz_11730	taz	24.615823	824	46.720085	1352
taz_11733	taz	24.613705	4089	46.717395	1351
streets_12448	streets	24.5386893076	None	46.6970965103	None
taz_11735	taz	24.617594	1476	46.721732	1352
taz_11734	taz	24.613483	3118	46.717851	1351
taz_11737	taz	24.621952	7460	46.724544	1355
taz_11736	taz	24.616471	1658	46.723767	1354
streets_12443	streets	24.8364042972	None	46.8205982528	None
taz_12427	taz	24.802054	5099	46.733946	608
streets_12442	streets	24.6864382236	None	46.697235775	None
taz_12428	taz	24.793989	3171	46.737209	608
taz_12429	taz	24.799191	2191	46.7285	120
streets_10492	streets	24.8914998792	None	46.8865314133	None
streets_12447	streets	24.6571059367	None	46.7327918093	None
streets_12446	streets	24.647029049	None	46.7208860614	None
streets_12445	streets	24.6705673781	None	46.6820093858	None
streets_12444	streets	24.658922544	None	46.7322432486	None
streets_10493	streets	24.6151838378	None	46.7250315852	None
streets_8028	streets	24.757009901	None	46.6747971713	None
taz_12280	taz	24.747664	267	46.665405	705
taz_12282	taz	24.761872	5085	46.66105	682
taz_13451	taz	24.740783	2154	46.846556	1020
taz_2675	taz	24.807227	4475	46.63123	566
taz_4884	taz	24.67305	3418	46.696308	108
taz_4881	taz	24.677364	6788	46.692672	1035
taz_4882	taz	24.675268	5539	46.694397	108
taz_4883	taz	24.676418	6787	46.690423	108
taz_2676	taz	24.810499	7434	46.639125	566
taz_2671	taz	24.797172	4624	46.628399	562
taz_2670	taz	24.793974	5896	46.621766	562
taz_2673	taz	24.790905	10711	46.61417	560
taz_2672	taz	24.783208	2957	46.617683	560
streets_11068	streets	24.5699885249	None	46.7677580706	None
streets_11069	streets	24.6334124927	None	46.7643841933	None
streets_10872	streets	24.592122455	None	46.7257552908	None
