source	target	layer	capacity	weight	time_s	dist_km	len_km	cost_time_m	To	gid	From
streets_12353	streets_4450	streets	3800	0.439703069219	None	0.447030437039	0.447030437039	0.439702069219	None	1593	None
streets_12353	streets_5250	streets	2850	0.345992772983	None	0.236427711538	0.236427711538	0.345991772983	None	840	None
streets_12353	streets_14317	streets	2850	0.354505436241	None	0.242244698098	0.242244698098	0.354504436241	None	848	None
streets_12353	streets_10132	streets	2850	0.684759850509	None	0.467918547848	0.467918547848	0.684758850509	None	14791	None
streets_8947	streets_11578	streets	1900	0.298436924313	None	0.203931214947	0.203931214947	0.298435924313	None	16173	None
streets_8947	streets_11030	streets	2850	0.0874245434501	None	0.0888806025076	0.0888806025076	0.0874235434501	None	20926	None
taz_12987	streets_13101	taz--streets	None	1.00000025709e-06	None	2.57085499017e-05	None	2.57085499017e-13	None	None	None
taz_12985	streets_2256	taz--streets	None	1.00000046993e-06	None	4.69932642976e-05	None	4.69932642976e-13	None	None	None
taz_12984	streets_898	taz--streets	None	1.00000031608e-06	None	3.16082430863e-05	None	3.16082430863e-13	None	None	None
taz_12989	streets_338	taz--streets	None	1.00000069566e-06	None	6.95657027494e-05	None	6.95657027494e-13	None	None	None
taz_12988	streets_47	taz--streets	None	1.00000061738e-06	None	6.17379270181e-05	None	6.17379270181e-13	None	None	None
streets_2159	streets_4717	streets	1900	0.066354110939	None	0.0785178479445	0.0785178479445	0.066353110939	None	7829	None
streets_2159	taz_9007	taz--streets	None	1.00000057645e-06	None	5.76453829462e-05	None	5.76453829462e-13	None	None	None
streets_2159	streets_7123	streets	950	0.031397415556	None	0.0319196891486	0.0319196891486	0.031396415556	None	12167	None
streets_2158	streets_9823	streets	6963	0.0776115523209	None	0.13064442974	0.13064442974	0.0776105523209	None	11890	None
taz_5234	streets_11032	taz--streets	None	1.00000055575e-06	None	5.55747442331e-05	None	5.55747442331e-13	None	None	None
taz_5235	streets_12643	taz--streets	None	1.00000066258e-06	None	6.62581296471e-05	None	6.62581296471e-13	None	None	None
streets_2151	streets_2148	streets	950	0.0829430158528	None	0.0843243827837	0.0843243827837	0.0829420158528	None	2424	None
streets_2151	streets_885	streets	6963	0.566068963659	None	0.95288107216	0.95288107216	0.566067963659	None	17514	None
streets_2150	taz_3526	taz--streets	None	1.00000019148e-06	None	1.91480689037e-05	None	1.91480689037e-13	None	None	None
streets_2150	streets_6300	streets	1900	0.269675087691	None	0.319114337102	0.319114337102	0.269674087691	None	14429	None
streets_2157	streets_14716	streets	2850	0.45110703733	None	0.308255792175	0.308255792175	0.45110603733	None	15141	None
streets_2156	streets_7472	streets	2850	0.0155374472978	None	0.0157953880861	0.0157953880861	0.0155364472978	None	10671	None
taz_2938	streets_490	taz--streets	None	1.00000064366e-06	None	6.43658252433e-05	None	6.43658252433e-13	None	None	None
taz_2939	streets_1972	taz--streets	None	1.00000016393e-06	None	1.6392605629e-05	None	1.6392605629e-13	None	None	None
streets_11458	streets_1014	streets	1900	0.410791105262	None	0.48610162456	0.48610162456	0.410790105262	None	21051	None
streets_11458	streets_13975	streets	950	0.236329057402	None	0.240266858359	0.240266858359	0.236328057402	None	7615	None
taz_2932	streets_2188	taz--streets	None	1.000000494e-06	None	4.93995199775e-05	None	4.93995199775e-13	None	None	None
taz_2933	streets_13462	taz--streets	None	1.00000029384e-06	None	2.93835090162e-05	None	2.93835090162e-13	None	None	None
taz_2930	streets_14798	taz--streets	None	1.00000044202e-06	None	4.42024561238e-05	None	4.42024561238e-13	None	None	None
streets_11456	streets_11451	streets	1900	0.255322191337	None	0.302130076416	0.302130076416	0.255321191337	None	448	None
taz_2936	streets_9596	taz--streets	None	1.00000021286e-06	None	2.1285513234e-05	None	2.1285513234e-13	None	None	None
taz_2937	streets_7451	taz--streets	None	1.00000003233e-06	None	3.23337856934e-06	None	3.23337856934e-14	None	None	None
streets_11453	streets_5153	streets	3800	1.22415652174	None	1.24455811377	1.24455811377	1.22415552174	None	450	None
streets_11453	taz_4468	taz--streets	None	1.00000045311e-06	None	4.53112532358e-05	None	4.53112532358e-13	None	None	None
streets_11452	streets_7236	streets	2850	0.189035249279	None	0.1921848201	0.1921848201	0.189034249279	None	451	None
