id	layer	num1	num2	num3	intermodality	lon	pos	Station	st_x	st_y	lat
streets_5390	streets	None	None	None	None	None	(24.5386451122299, 46.665020350884895)	None	46.6650203509	24.5386451122	None
streets_5391	streets	None	None	None	None	None	(24.649582913888196, 46.71841880948689)	None	46.7184188095	24.6495829139	None
streets_12353	streets	None	None	None	None	None	(24.713327019453896, 46.774602934707794)	None	46.7746029347	24.7133270195	None
streets_8947	streets	None	None	None	None	None	(24.6230782178507, 46.7261368836449)	None	46.7261368836	24.6230782179	None
taz_12987	taz	214	6076	693	0.198208814518	46.538561	(24.853935, 46.538561)	None	None	None	24.853935
taz_12985	taz	3655	7692	532	0.687485269856	46.622868	(24.815351, 46.622868)	None	None	None	24.815351
taz_12984	taz	3656	4421	532	0.687485269856	46.620908	(24.819217000000002, 46.620908)	None	None	None	24.819217
taz_12989	taz	3659	2734	436	0.132924817346	46.641138	(24.776267, 46.641138)	None	None	None	24.776267
taz_12988	taz	3971	3790	216	0.171576714589	46.693932	(24.621821, 46.693932000000004)	None	None	None	24.621821
streets_2159	streets	None	None	None	None	None	(24.7607652594975, 46.676672493390704)	None	46.6766724934	24.7607652595	None
streets_2158	streets	None	None	None	None	None	(24.507024075995698, 46.936380730308706)	None	46.9363807303	24.507024076	None
taz_5234	taz	2430	1778	1228	0.497289653547	46.71127	(24.64273, 46.71127)	None	None	None	24.64273
taz_5235	taz	822	4641	637	0.141173697855	46.605399	(24.714866, 46.605399)	None	None	None	24.714866
streets_2151	streets	None	None	None	None	None	(24.7129797909523, 46.6750476857382)	None	46.6750476857	24.712979791	None
streets_2150	streets	None	None	None	None	None	(24.784640166176, 46.6449100520977)	None	46.6449100521	24.7846401662	None
streets_2157	streets	None	None	None	None	None	(24.573346615714804, 46.77261332349771)	None	46.7726133235	24.5733466157	None
streets_2156	streets	None	None	None	None	None	(24.732358661766302, 46.6906869794941)	None	46.6906869795	24.7323586618	None
taz_2938	taz	45	1634	1085	0.135045958049	46.632939	(24.582836999999998, 46.632939)	None	None	None	24.582837
taz_2939	taz	1045	3495	143	0.405844921046	46.815832	(24.776577, 46.815832)	None	None	None	24.776577
streets_11458	streets	None	None	None	None	None	(24.7898354836021, 46.706868773458204)	None	46.7068687735	24.7898354836	None
taz_2932	taz	44	570	1085	0.180532641999	46.64298	(24.58074, 46.64298)	None	None	None	24.58074
taz_2933	taz	47	8774	986	0.696205514966	46.839823	(24.711993, 46.839822999999996)	None	None	None	24.711993
taz_2930	taz	774	9731	118	0.138581192552	46.71852	(24.815326000000002, 46.71852)	None	None	None	24.815326
streets_11456	streets	None	None	None	None	None	(24.756658038611697, 46.6749753768394)	None	46.6749753768	24.7566580386	None
taz_2936	taz	1044	7315	143	0.411972660853	46.803845	(24.777963, 46.803845)	None	None	None	24.777963
taz_2937	taz	42	2617	1383	0.288475135517	46.586738	(24.577758, 46.586738000000004)	None	None	None	24.577758
streets_11453	streets	None	None	None	None	None	(24.7361550084166, 46.6392994473159)	None	46.6392994473	24.7361550084	None
streets_11452	streets	None	None	None	None	None	(24.6627236879008, 46.7064066102979)	None	46.7064066103	24.6627236879	None
taz_5582	taz	3084	3772	1055	0.116191374028	46.709076	(24.669381, 46.709076)	None	None	None	24.669381
taz_5580	taz	703	549	1411	0.132689135046	46.66087	(24.5732, 46.66087)	None	None	None	24.5732
taz_5584	taz	4078	907	883	0.348809804384	46.718776	(24.69661, 46.718776)	None	None	None	24.69661
taz_5589	taz	4076	1191	883	0.113598868725	46.716386	(24.695332999999998, 46.716386)	None	None	None	24.695333
taz_14804	taz	1865	2041	263	0.256658024982	46.775111	(24.677066, 46.775110999999995)	None	None	None	24.677066
taz_14805	taz	4206	8657	1024	0.0940372378034	46.684454	(24.668960000000002, 46.684453999999995)	None	None	None	24.66896
taz_14806	taz	4205	1962	43	0.132453452746	46.691513	(24.669188000000002, 46.691513)	None	None	None	24.669188
taz_14807	taz	1870	8380	923	0.225312279048	46.770775	(24.681334, 46.770775)	None	None	None	24.681334
taz_14801	taz	589	756	493	0.105114305916	46.676166	(24.51247, 46.676165999999995)	None	None	None	24.51247
taz_14803	taz	1818	451	737	0.238981852463	46.674472	(24.745696, 46.674471999999994)	None	None	None	24.745696
taz_14808	taz	1869	8379	923	0.225312279048	46.768538	(24.68057, 46.768538)	None	None	None	24.68057
taz_14809	taz	1872	9155	1179	0.215413622437	46.705009	(24.658884, 46.705009000000004)	None	None	None	24.658884
streets_4740	streets	None	None	None	None	None	(24.773645264131698, 46.6699805871289)	None	46.6699805871	24.7736452641	None
taz_4189	taz	3445	3537	873	0.0989865661089	46.680821	(24.68047, 46.680821)	None	None	None	24.68047
taz_4188	taz	3448	3985	872	0.119019561631	46.683502	(24.686839000000003, 46.683502000000004)	None	None	None	24.686839
taz_4185	taz	2584	7468	1082	0.740042422814	46.643309	(24.607326999999998, 46.643309)	None	None	None	24.607327
taz_4184	taz	3200	7882	579	0.240631628565	46.639522	(24.773436, 46.639522)	None	None	None	24.773436
taz_4187	taz	3446	4018	872	0.0989865661089	46.685782	(24.683732, 46.685782)	None	None	None	24.683732
taz_4186	taz	101	1014	695	0.374499175112	46.804389	(24.912482, 46.804389)	None	None	None	24.912482
taz_4180	taz	2786	6647	962	0.29059627622	46.808827	(24.696726, 46.808827)	None	None	None	24.696726
streets_4742	streets	None	None	None	None	None	(24.7398659746048, 46.687099030686596)	None	46.6870990307	24.7398659746	None
metro_12246	metro	None	None	None	None	46.718459	(24.693927, 46.718459)	5-7	None	None	24.693927
streets_9413	streets	None	None	None	None	None	(24.756562318757602, 46.721843425632)	None	46.7218434256	24.7565623188	None
taz_3327	taz	3213	4969	807	0.200565637521	46.689469	(24.735472, 46.689469)	None	None	None	24.735472
taz_3328	taz	2912	5678	1194	0.324534527457	46.717903	(24.658602, 46.717903)	None	None	None	24.658602
taz_3329	taz	709	2605	156	0.243931180768	46.604703	(24.598843, 46.604703)	None	None	None	24.598843
streets_9410	streets	None	None	None	None	None	(24.621145714492197, 46.739532123652204)	None	46.7395321237	24.6211457145	None
streets_9417	streets	None	None	None	None	None	(24.6478316589983, 46.76762885675179)	None	46.7676288568	24.647831659	None
streets_9416	streets	None	None	None	None	None	(24.658826078306998, 46.6710055697377)	None	46.6710055697	24.6588260783	None
streets_9415	streets	None	None	None	None	None	(24.4970581490119, 46.6278277293937)	None	46.6278277294	24.497058149	None
streets_9414	streets	None	None	None	None	None	(24.597019702080804, 46.8493741555361)	None	46.8493741555	24.5970197021	None
streets_9419	streets	None	None	None	None	None	(24.6313733676665, 46.787012689354)	None	46.7870126894	24.6313733677	None
streets_9418	streets	None	None	None	None	None	(24.7895788364979, 46.8006152226324)	None	46.8006152226	24.7895788365	None
taz_12610	taz	3503	10483	668	0.173462172991	46.654864	(24.72777, 46.654864)	None	None	None	24.72777
taz_7284	taz	1433	6360	1435	0.340089559274	46.750802	(24.567829999999997, 46.750802)	None	None	None	24.56783
streets_4124	streets	None	None	None	None	None	(24.7972220143718, 46.7231265421128)	None	46.7231265421	24.7972220144	None
streets_4125	streets	None	None	None	None	None	(24.541252166800604, 46.9374380980359)	None	46.937438098	24.5412521668	None
streets_4127	streets	None	None	None	None	None	(24.7643701292873, 46.836217368583)	None	46.8362173686	24.7643701293	None
streets_4120	streets	None	None	None	None	None	(24.758911111266304, 46.715433303200506)	None	46.7154333032	24.7589111113	None
streets_4121	streets	None	None	None	None	None	(24.624125797273003, 46.8842656387488)	None	46.8842656387	24.6241257973	None
streets_4122	streets	None	None	None	None	None	(24.6927873149548, 46.684857925957004)	None	46.684857926	24.692787315	None
streets_4123	streets	None	None	None	None	None	(24.637211529098302, 46.716995600081)	None	46.7169956001	24.6372115291	None
streets_4128	streets	None	None	None	None	None	(24.725406637421, 46.6493219579168)	None	46.6493219579	24.7254066374	None
streets_7532	streets	None	None	None	None	None	(24.755989361002197, 46.744055811516)	None	46.7440558115	24.755989361	None
streets_7533	streets	None	None	None	None	None	(24.782592285882696, 46.811341973253604)	None	46.8113419733	24.7825922859	None
streets_7530	streets	None	None	None	None	None	(24.6687596314224, 46.684399135055294)	None	46.6843991351	24.6687596314	None
streets_7531	streets	None	None	None	None	None	(24.6031007477735, 46.7123949834717)	None	46.7123949835	24.6031007478	None
taz_2747	taz	3301	4225	746	0.204572236625	46.66231	(24.74573, 46.66231)	None	None	None	24.74573
