From	To	Time (s)
1-1	1-2	150.951091
1-2	1-1	150.951091
1-2	1-3	154.5052864
1-3	1-2	154.5052864
1-3	1-4	140.7634702
1-4	1-3	140.7634702
1-4	1-5	265.5577156
1-5	1-4	265.5577156
1-5	1-6	94.61574129
1-6	1-5	94.61574129
1-6	1-7	99.87819439
1-7	1-6	99.87819439
1-7	1-8	107.2138842
1-8	1-7	107.2138842
1-8	1-9	107.2212368
1-9	1-8	107.2212368
1-9	1-10	91.49353692
1-10	1-9	91.49353692
1-10	1-11	99.54371984
1-11	1-10	99.54371984
1-11	1-12	116.0575249
1-12	1-11	116.0575249
1-12	1-13	102.9194723
1-13	1-12	102.9194723
1-13	1-14	168.6411354
1-14	1-13	168.6411354
1-14	1-15	94.63421492
1-15	1-14	94.63421492
1-15	1-16	88.25970504
1-16	1-15	88.25970504
1-16	1-17	105.3154092
1-17	1-16	105.3154092
1-17	1-18	101.3790601
1-18	1-17	101.3790601
1-18	1-19	78.57698898
1-19	1-18	78.57698898
1-19	1-20	83.07708363
1-20	1-19	83.07708363
1-20	1-21	98.57183175
1-21	1-20	98.57183175
1-21	1-22	85.09238696
1-22	1-21	85.09238696
1-22	1-23	92.8496002
1-23	1-22	92.8496002
1-23	1-24	105.5130422
1-24	1-23	105.5130422
1-24	1-25	178.7938367
1-25	1-24	178.7938367
1-25	1-26	97.24559154
1-26	1-25	97.24559154
1-26	1-27	298.7451588
1-27	1-26	298.7451588
3-1	3-2	167.8214478
3-2	3-1	167.8214478
3-2	3-3	218.6509227
3-3	3-2	218.6509227
3-3	3-4	278.7852185
3-4	3-3	278.7852185
3-4	3-5	172.1084035
3-5	3-4	172.1084035
3-5	3-6	124.0991205
3-6	3-5	124.0991205
3-6	3-7	194.2625929
3-7	3-6	194.2625929
3-7	3-8	115.2794298
3-8	3-7	115.2794298
3-8	3-9	123.2691112
3-9	3-8	123.2691112
3-9	3-10	104.8887387
3-10	3-9	104.8887387
3-10	3-11	103.2449542
3-11	3-10	103.2449542
3-11	3-12	89.60485886
3-12	3-11	89.60485886
3-12	3-13	90.44085136
3-13	3-12	90.44085136
3-13	3-14	84.81754097
3-14	3-13	84.81754097
3-14	3-15	167.1635194
3-15	3-14	167.1635194
3-15	3-16	135.7753825
3-16	3-15	135.7753825
3-16	3-17	154.4963079
3-17	3-16	154.4963079
3-17	3-18	193.613035
3-18	3-17	193.613035
3-18	3-19	129.6881854
3-19	3-18	129.6881854
3-19	3-20	142.7624275
3-20	3-19	142.7624275
3-20	3-21	185.9230235
3-21	3-20	185.9230235
3-21	3-22	160.7910626
3-22	3-21	160.7910626
2-1	2-2	121.4371213
2-2	2-1	121.4371213
2-2	2-3	126.0216566
2-3	2-2	126.0216566
2-3	2-4	96.45100009
2-4	2-3	96.45100009
2-4	2-5	116.4930377
2-5	2-4	116.4930377
2-5	2-6	106.9858514
2-6	2-5	106.9858514
2-6	2-7	98.20563819
2-7	2-6	98.20563819
2-7	2-8	97.56211271
2-8	2-7	97.56211271
2-8	2-9	104.6596715
2-9	2-8	104.6596715
2-9	2-10	151.1428103
2-10	2-9	151.1428103
2-10	2-11	262.3369791
2-11	2-10	262.3369791
2-11	2-12	150.7564299
2-12	2-11	150.7564299
2-12	2-13	171.6701453
2-13	2-12	171.6701453
2-13	2-14	133.9089994
2-14	2-13	133.9089994
2-14	2-15	133.7653477
2-15	2-14	133.7653477
2-15	2-16	122.2291889
2-16	2-15	122.2291889
5-1	5-2	147.1103014
5-2	5-1	147.1103014
5-2	5-3	165.1967887
5-3	5-2	165.1967887
5-3	5-4	77.52423272
5-4	5-3	77.52423272
5-4	5-5	78.53468826
5-5	5-4	78.53468826
5-5	5-6	89.79020804
5-6	5-5	89.79020804
5-6	5-7	90.6427757
5-7	5-6	90.6427757
5-7	5-8	114.7636407
5-8	5-7	114.7636407
5-8	5-9	129.9848666
5-9	5-8	129.9848666
5-9	5-10	112.4909862
5-10	5-9	112.4909862
5-10	5-11	106.3828042
5-11	5-10	106.3828042
5-11	5-12	100.2329979
5-12	5-11	100.2329979
4-1	4-2	166.2489068
4-2	4-1	166.2489068
4-2	4-3	247.9583257
4-3	4-2	247.9583257
4-3	4-4	151.6521045
4-4	4-3	151.6521045
4-4	4-5	271.0685581
4-5	4-4	271.0685581
4-5	4-6	166.0571449
4-6	4-5	166.0571449
4-6	4-7	574.5620391
4-7	4-6	574.5620391
4-7	4-8	121.2375955
4-8	4-7	121.2375955
4-8	4-9	131.2954698
4-9	4-8	131.2954698
6-1	6-2	166.2489068
6-2	6-1	166.2489068
6-2	6-3	247.9583257
6-3	6-2	247.9583257
6-3	6-4	151.6521045
6-4	6-3	151.6521045
6-4	6-5	216.5595735
6-5	6-4	216.5595735
6-5	6-6	247.9338747
6-6	6-5	247.9338747
6-6	6-7	201.3442491
6-7	6-6	201.3442491
6-7	6-8	181.1706147
6-8	6-7	181.1706147
6-8	6-9	165.5997956
6-9	6-8	165.5997956
6-9	6-10	169.542022
6-10	6-9	169.542022
6-10	6-11	199.5343711
6-11	6-10	199.5343711
1-4	4-1	300
1-4	6-1	300
4-1	6-1	300
4-2	6-2	300
4-3	6-3	300
4-4	6-4	300
1-8	2-5	300
2-12	6-7	300
3-20	6-11	300
1-20	3-10	300
P1	4-4	300
4-4	P1	300
P1	6-4	300
6-4	P1	300
P2	4-2	300
4-2	P2	300
P2	6-2	300
6-2	P2	300
P3	1-4	300
1-4	P3	300
P3	4-1	300
4-1	P3	300
P3	6-1	300
6-1	P3	300
P4	4-6	300
4-6	P4	300
P5	1-1	300
1-1	P5	300
P6	2-12	300
2-12	P6	300
P6	6-7	300
6-7	P6	300
P7	2-16	300
2-16	P7	300
P8	6-9	300
6-9	P8	300
P9	3-20	300
3-20	P9	300
P9	6-11	300
6-11	P9	300
P10	3-22	300
3-22	P10	300
P11	1-8	300
1-8	P11	300
P11	2-5	300
2-5	P11	300
P12	2-2	300
