id	layer	Station	lat	node_id	lon	pos	nid
0	streets	None	24.6343386	3293446144	46.5439865	(24.634338600000003, 46.543986500000003)	1
1	streets	None	24.7130437	1472528384	46.6172842	(24.7130437, 46.6172842)	2
2	streets	None	24.6344525	3293446149	46.5427086	(24.634452499999998, 46.542708600000005)	3
3	streets	None	24.6344539	3293446150	46.5547568	(24.6344539, 46.5547568)	4
4	streets	None	24.6496914	1698824201	46.5961395	(24.649691399999998, 46.5961395)	5
5	streets	None	24.7897253	1710708055	46.7164978	(24.789725300000001, 46.716497799999992)	6
6	streets	None	24.6345269	3293446156	46.5318897	(24.634526899999997, 46.531889700000008)	7
7	streets	None	24.6516381	1698824207	46.5980992	(24.651638100000003, 46.5980992)	8
8	streets	None	24.634588	3293446161	46.5617302	(24.634588000000001, 46.5617302)	9
9	streets	None	24.6345895	3293446163	46.5497068	(24.634589500000001, 46.549706799999996)	10
10	streets	None	24.63465	3293446164	46.5686696	(24.634650000000001, 46.5686696)	11
11	streets	None	24.6346702	3293446165	46.549833	(24.634670199999999, 46.549833)	12
12	streets	None	24.6347057	3293446167	46.5616421	(24.634705700000001, 46.5616421)	13
13	streets	None	24.6347123	3293446168	46.5694082	(24.634712300000004, 46.569408200000005)	14
14	streets	None	24.6347199	3293446169	46.5377716	(24.6347199, 46.537771599999999)	15
15	streets	None	24.6347317	3293446170	46.5496002	(24.6347317, 46.5496002)	16
16	streets	None	24.6347391	3293446171	46.5687988	(24.634739100000001, 46.568798799999996)	17
17	streets	None	24.6348119	3293446175	46.5497264	(24.634811899999999, 46.549726399999997)	18
18	streets	None	24.7431812	3393060896	46.5655813	(24.743181200000002, 46.565581299999998)	19
19	streets	None	24.3964128	3402782043	46.8342654	(24.3964128, 46.8342654)	20
20	streets	None	24.6348623	3293446181	46.5376646	(24.634862300000002, 46.537664599999999)	21
21	streets	None	24.6762283	598190769	46.7779833	(24.676228299999998, 46.777983299999995)	22
22	streets	None	24.7873852	1710708060	46.7196404	(24.787385199999999, 46.719640399999996)	23
23	streets	None	24.7542335	3393060906	46.5625278	(24.754233499999998, 46.562527799999998)	24
24	streets	None	24.7422051	3393060907	46.5625447	(24.7422051, 46.562544700000004)	25
25	streets	None	24.7419702	3393060908	46.5629032	(24.741970199999997, 46.562903200000001)	26
26	streets	None	24.7421012	3393060909	46.5627787	(24.7421012, 46.562778700000003)	27
27	streets	None	24.7421086	3393060910	46.5628115	(24.742108600000002, 46.562811500000002)	28
28	streets	None	24.3965967	3402782045	46.8342999	(24.3965967, 46.834299899999998)	29
29	streets	None	24.7420245	3393060912	46.5629182	(24.742024499999999, 46.562918200000006)	30
30	streets	None	24.6350939	3293446194	46.5693971	(24.635093899999998, 46.569397100000003)	31
31	streets	None	24.6381206	506593335	46.7165169	(24.638120600000001, 46.716516900000002)	32
32	streets	None	24.6352414	3293446201	46.5504169	(24.635241399999998, 46.550416900000002)	33
33	streets	None	24.6352507	3293446202	46.5382905	(24.635250699999997, 46.538290500000002)	34
34	streets	None	24.6353049	3293446205	46.568182	(24.635304900000001, 46.568182)	35
35	streets	None	24.6382657	506593344	46.7176962	(24.638265700000002, 46.717696200000006)	36
36	streets	None	24.7421981	3393060929	46.5630031	(24.742198100000003, 46.563003100000003)	37
37	streets	None	24.6353523	3293446212	46.5577467	(24.635352300000001, 46.557746700000003)	38
38	streets	None	24.6849055	3412088161	46.8323119	(24.684905499999999, 46.832311900000001)	39
39	streets	None	24.7427191	3393060936	46.5634257	(24.742719100000002, 46.563425700000003)	40
40	streets	None	24.6354937	3293446217	46.5511499	(24.635493700000001, 46.551149899999999)	41
41	streets	None	24.6355334	3293446219	46.5391022	(24.635533399999996, 46.539102200000002)	42
42	streets	None	24.6387269	506593358	46.7149805	(24.638726899999998, 46.714980499999996)	43
43	streets	None	24.6356354	3293446223	46.5845582	(24.635635399999998, 46.584558200000004)	44
44	streets	None	24.6358187	3293446234	46.5539297	(24.635818700000002, 46.553929700000005)	45
45	streets	None	24.6358243	3293446235	46.5418933	(24.635824300000003, 46.541893299999998)	46
46	streets	None	24.6358444	3293446236	46.5638548	(24.6358444, 46.563854799999994)	47
47	streets	None	24.6402156	506593374	46.7177606	(24.640215600000001, 46.717760600000005)	48
48	streets	None	24.6359578	3293446239	46.5538245	(24.6359578, 46.553824499999997)	49
49	streets	None	24.6359438	3293446240	46.541803	(24.6359438, 46.541803000000002)	50
50	streets	None	24.6359976	3293446242	46.5637401	(24.635997600000003, 46.563740100000004)	51
51	streets	None	24.6360557	3293446244	46.5365465	(24.6360557, 46.5365465)	52
52	streets	None	24.6360654	3293446245	46.5399723	(24.6360654, 46.539972300000002)	53
53	streets	None	24.6518266	1698824209	46.5982924	(24.6518266, 46.598292399999998)	54
54	streets	None	24.6525538	1698824298	46.5973807	(24.6525538, 46.597380700000002)	55
55	streets	None	24.7822991	1710708071	46.7191386	(24.782299099999999, 46.719138600000001)	56
56	streets	None	24.6361947	3293446254	46.5607146	(24.636194699999997, 46.560714600000004)	57
57	streets	None	24.6362093	3293446255	46.5425074	(24.636209300000001, 46.542507399999998)	58
58	streets	None	24.6362115	3293446256	46.5545562	(24.636211499999998, 46.5545562)	59
59	streets	None	24.636216	3293446257	46.534584	(24.636216000000001, 46.534584000000002)	60
60	streets	None	24.6362658	3293446259	46.5645252	(24.6362658, 46.564525200000006)	61
61	streets	None	24.636283	3293446260	46.5474672	(24.636282999999999, 46.5474672)	62
62	streets	None	24.6406166	506593397	46.7176598	(24.640616600000001, 46.7176598)	63
63	streets	None	24.6526383	1698824310	46.5974737	(24.6526383, 46.597473700000002)	64
64	streets	None	25.0076472	3359899767	46.5685658	(25.007647199999997, 46.568565800000002)	65
65	streets	None	24.6523861	1698824313	46.5975909	(24.652386100000001, 46.5975909)	66
66	streets	None	24.6524723	1698824315	46.5976819	(24.652472299999999, 46.597681899999998)	67
67	streets	None	25.0044344	3359899772	46.5702487	(25.004434399999997, 46.5702487)	68
68	streets	None	24.6518738	1698824318	46.5982332	(24.651873800000001, 46.598233200000003)	69
69	streets	None	24.6412528	506593407	46.7174526	(24.641252800000004, 46.717452600000001)	70
70	streets	None	24.791643	3362630336	46.6357682	(24.791643000000001, 46.635768200000001)	71
71	streets	None	25.0163404	3359899779	46.5641297	(25.016340399999997, 46.564129700000002)	72
72	streets	None	25.0175879	3359899780	46.5669481	(25.017587899999999, 46.566948100000005)	73
73	streets	None	25.0100349	3359899781	46.5742674	(25.010034899999997, 46.574267399999997)	74
74	streets	None	25.0100975	3359899782	46.5743537	(25.010097500000001, 46.574353700000003)	75
75	streets	None	25.0161644	3359899783	46.571235	(25.016164399999997, 46.571234999999994)	76
76	streets	None	25.0164513	3359899784	46.5640716	(25.0164513, 46.564071599999998)	77
77	streets	None	25.0204448	3359899787	46.5679219	(25.0204448, 46.567921900000002)	78
78	streets	None	25.0229738	3359899789	46.5666429	(25.022973800000003, 46.566642899999998)	79
79	streets	None	25.0222197	3359899790	46.579739	(25.022219699999997, 46.579739000000004)	80
80	streets	None	25.0221927	3359899792	46.5799688	(25.022192699999998, 46.579968799999996)	81
81	streets	None	25.0204903	3359899793	46.5680439	(25.020490300000002, 46.568043899999999)	82
82	streets	None	25.0230239	3359899794	46.5667606	(25.023023899999998, 46.566760600000002)	83
83	streets	None	25.0232381	3359899796	46.5666341	(25.023238100000004, 46.566634100000002)	84
84	streets	None	25.0206287	3359899797	46.5679776	(25.0206287, 46.567977599999999)	85
85	streets	None	24.641843	506593430	46.717223	(24.641842999999998, 46.717222999999997)	86
86	streets	None	25.0176199	3359899801	46.5666866	(25.0176199, 46.566686600000004)	87
87	streets	None	25.0175278	3359899802	46.5668122	(25.017527800000003, 46.566812200000001)	88
88	streets	None	25.0176735	3359899803	46.5668065	(25.017673499999997, 46.566806499999998)	89
89	streets	None	25.0160864	3359899804	46.5711561	(25.016086399999999, 46.571156099999996)	90
90	streets	None	25.0161937	3359899805	46.5711058	(25.016193700000002, 46.571105799999998)	91
91	streets	None	25.0191577	3359899806	46.5722205	(25.019157699999997, 46.5722205)	92
92	streets	None	25.0190422	3359899807	46.5721753	(25.019042199999998, 46.572175299999998)	93
93	streets	None	25.0189997	3359899808	46.5723049	(25.018999700000002, 46.572304899999999)	94
94	streets	None	24.6519141	1698824353	46.5983821	(24.651914099999999, 46.598382100000002)	95
95	streets	None	25.0160523	3359899810	46.5712942	(25.016052300000002, 46.571294200000004)	96
96	streets	None	24.5745208	3188107974	46.8495251	(24.574520800000002, 46.849525100000001)	97
97	streets	None	25.0149799	3359899821	46.5648255	(25.0149799, 46.564825499999998)	98
98	streets	None	24.8410344	3361865902	46.5466389	(24.841034399999998, 46.546638899999998)	99
99	streets	None	24.6391767	506593464	46.714988	(24.6391767, 46.714987999999998)	100
100	streets	None	25.0219599	3359899835	46.5671551	(25.021959899999999, 46.567155100000001)	101
101	streets	None	24.6391451	506593469	46.7177315	(24.6391451, 46.717731499999999)	102
102	streets	None	25.019701	3359899838	46.5589465	(25.019701000000001, 46.558946500000005)	103
103	streets	None	25.0184297	3359899841	46.5625818	(25.018429699999999, 46.562581799999997)	104
104	streets	None	25.0190611	3359899842	46.5574419	(25.019061100000002, 46.557441900000001)	105
105	streets	None	24.879877	3360467659	46.598705	(24.879877, 46.598704999999995)	106
106	streets	None	25.0176556	3359899845	46.5629777	(25.017655600000001, 46.562977699999998)	107
107	streets	None	24.8793826	3360467660	46.5989123	(24.8793826, 46.598912299999995)	108
108	streets	None	24.6735924	497330893	46.6937654	(24.6735924, 46.693765399999997)	109
109	streets	None	24.638719	1698824401	46.5849628	(24.638719000000002, 46.5849628)	110
110	streets	None	25.0035113	3359899859	46.5632416	(25.0035113, 46.563241600000005)	111
111	streets	None	24.6231583	528351446	46.6445844	(24.6231583, 46.644584399999999)	112
112	streets	None	24.6231025	528351449	46.6454192	(24.623102499999998, 46.645419200000006)	113
113	streets	None	25.0087883	3359899872	46.5751398	(25.008788299999999, 46.575139799999995)	114
